myclusters	SampleID
hypoxic	TCGA.2G.AAGA.01A.11R.A430.07
hypoxic	TCGA.2G.AAG8.01A.31R.A430.07
hypoxic	TCGA.VF.A8AD.01A.11R.A431.07
hypoxic	TCGA.2G.AALF.01A.11R.A430.07
hypoxic	TCGA.2G.AAM4.01A.11R.A430.07
hypoxic	TCGA.2G.AAFO.01A.31R.A430.07
hypoxic	TCGA.2G.AAFY.01A.11R.A430.07
hypoxic	TCGA.2G.AAFL.01A.21R.A430.07
hypoxic	TCGA.2G.AAKH.01A.11R.A430.07
intermediate	TCGA.2G.AAM3.01A.11R.A430.07
intermediate	TCGA.2G.AALT.01A.11R.A430.07
intermediate	TCGA.SN.A84X.01A.11R.A431.07
intermediate	TCGA.2G.AALZ.01A.11R.A430.07
intermediate	TCGA.2G.AAG5.01A.11R.A430.07
intermediate	TCGA.2G.AAGX.01A.11R.A430.07
intermediate	TCGA.2G.AAFJ.01A.11R.A430.07
intermediate	TCGA.2G.AALW.01A.11R.A430.07
intermediate	TCGA.2G.AAFZ.01A.11R.A430.07
intermediate	TCGA.2G.AAGI.01A.11R.A430.07
intermediate	TCGA.2G.AAH4.01A.12R.A430.07
intermediate	TCGA.2G.AAG3.01A.11R.A430.07
intermediate	TCGA.2G.AAH2.01A.11R.A430.07
intermediate	TCGA.2G.AAL5.01A.11R.A430.07
intermediate	TCGA.2G.AAGG.01A.11R.A430.07
intermediate	TCGA.2G.AAGP.01A.11R.A430.07
intermediate	TCGA.2G.AAGT.01A.11R.A430.07
intermediate	TCGA.YU.AA4L.01A.11R.A431.07
intermediate	TCGA.2G.AALR.01A.21R.A430.07
intermediate	TCGA.2G.AAGM.01A.11R.A430.07
intermediate	TCGA.XE.AAOJ.01A.12R.A431.07
intermediate	TCGA.YU.A94I.01A.11R.A431.07
intermediate	TCGA.XE.AAOC.01A.11R.A431.07
intermediate	TCGA.2G.AAFV.01A.11R.A430.07
intermediate	TCGA.YU.A94D.01A.11R.A431.07
intermediate	TCGA.W4.A7U3.01A.12R.A431.07
intermediate	TCGA.YU.AA61.01A.11R.A431.07
intermediate	TCGA.2G.AALX.01A.11R.A430.07
intermediate	TCGA.2G.AAG6.01A.11R.A430.07
intermediate	TCGA.SN.A84W.01A.11R.A431.07
intermediate	TCGA.2G.AAGY.01A.11R.A430.07
intermediate	TCGA.XE.AANI.01A.11R.A431.07
intermediate	TCGA.2G.AALG.01A.11R.A430.07
intermediate	TCGA.2G.AAGV.01A.11R.A430.07
intermediate	TCGA.2G.AALO.01A.12R.A430.07
normoxic	TCGA.ZM.AA0F.01A.21R.A431.07
normoxic	TCGA.ZM.AA0D.01A.11R.A431.07
normoxic	TCGA.ZM.AA0E.01A.12R.A431.07
normoxic	TCGA.2G.AAEW.01A.11R.A430.07
normoxic	TCGA.2G.AAF1.01A.11R.A430.07
normoxic	TCGA.2G.AAHT.01A.11R.A430.07
normoxic	TCGA.2G.AAKO.01A.11R.A430.07
normoxic	TCGA.2G.AAH3.01A.11R.A430.07
normoxic	TCGA.2X.A9D6.01A.11R.A430.07
normoxic	TCGA.S6.A8JW.01A.11R.A430.07
normoxic	TCGA.XE.A8H4.01A.31R.A431.07
normoxic	TCGA.XE.AAOF.01A.11R.A431.07
normoxic	TCGA.S6.A8JX.01A.11R.A430.07
normoxic	TCGA.SB.A76C.01A.11R.A431.07
normoxic	TCGA.VF.A8AC.01A.11R.A431.07
normoxic	TCGA.WZ.A7V4.01A.11R.A431.07
normoxic	TCGA.VF.A8AA.01A.11R.A431.07
normoxic	TCGA.XE.AANV.01A.11R.A431.07
normoxic	TCGA.2G.AAFE.01A.11R.A430.07
normoxic	TCGA.XY.A9T9.01A.11R.A431.07
normoxic	TCGA.2G.AAHC.01A.11R.A430.07
normoxic	TCGA.4K.AA1H.01A.11R.A430.07
normoxic	TCGA.2G.AAF4.01A.11R.A430.07
normoxic	TCGA.WZ.A7V5.01A.11R.A431.07
normoxic	TCGA.2X.A9D5.01A.11R.A430.07
normoxic	TCGA.4K.AA1I.01A.11R.A430.07
normoxic	TCGA.ZM.AA0B.01A.11R.A431.07
normoxic	TCGA.2G.AAHG.01A.11R.A430.07
normoxic	TCGA.XE.AAO4.01A.11R.A431.07
normoxic	TCGA.2G.AAEX.01A.11R.A430.07
normoxic	TCGA.SB.A6J6.01A.11R.A431.07
normoxic	TCGA.VF.A8A9.01A.11R.A431.07
normoxic	TCGA.VF.A8AE.01A.11R.A431.07
normoxic	TCGA.2G.AAHP.01A.12R.A430.07
normoxic	TCGA.SN.A6IS.01A.11R.A431.07
normoxic	TCGA.SO.A8JP.01A.11R.A431.07
normoxic	TCGA.YU.A90W.01A.11R.A431.07
normoxic	TCGA.ZM.AA0N.01A.21R.A431.07
normoxic	TCGA.XE.AAOL.01A.11R.A431.07
normoxic	TCGA.XE.AAO6.01A.31R.A431.07
normoxic	TCGA.ZM.AA06.01A.12R.A431.07
normoxic	TCGA.ZM.AA05.01A.12R.A431.07
normoxic	TCGA.ZM.AA0H.01A.11R.A431.07
normoxic	TCGA.2G.AAHA.01A.11R.A430.07
normoxic	TCGA.XY.A89B.01A.11R.A431.07
normoxic	TCGA.YU.A90S.01A.11R.A431.07
normoxic	TCGA.2G.AAHN.01A.11R.A430.07
normoxic	TCGA.VF.A8AB.01A.31R.A431.07
normoxic	TCGA.S6.A8JY.01A.11R.A431.07
normoxic	TCGA.YU.A90Q.01A.11R.A431.07
normoxic	TCGA.2G.AAF8.01A.11R.A430.07
normoxic	TCGA.XE.AANR.01A.11R.A431.07
normoxic	TCGA.XE.AAOD.01A.11R.A431.07
normoxic	TCGA.4K.AA1G.01A.11R.A430.07
normoxic	TCGA.W4.A7U2.01A.11R.A431.07
normoxic	TCGA.WZ.A8D5.01A.11R.A431.07
normoxic	TCGA.2G.AAF6.01A.11R.A430.07
normoxic	TCGA.WZ.A7V3.01A.11R.A431.07
